Session Date,Lever Number,Completion Time (seconds)
2025-02-16 16:53:49,1,6.02
2025-02-16 16:54:10,2,27.75
2025-02-16 16:54:35,3,52.08
2025-02-16 20:30:59,1,14.84
2025-02-16 20:30:59,1,15.22
2025-02-16 20:31:00,1,15.34
2025-02-16 20:31:00,1,15.48
2025-02-16 20:35:56,1,50.88
2025-02-16 20:36:00,1,55.00
2025-02-16 20:36:04,1,58.73
2025-02-16 20:36:04,1,58.89
2025-02-16 20:36:04,1,59.02
2025-02-16 20:36:04,1,59.17
2025-02-16 20:36:04,1,59.25
2025-02-16 20:36:05,1,59.34
2025-02-16 20:36:05,1,59.38
2025-02-16 20:36:05,1,59.42
2025-02-16 20:36:05,1,59.49
2025-02-16 20:36:05,1,59.64
2025-02-16 20:36:05,1,59.74
2025-02-16 20:36:05,1,59.80
2025-02-16 20:36:05,1,60.06
